Year,Australia,Brazil
1961,2.485769492,10.27591155
1962,1.296087352,5.21605942
1963,6.214630395,0.874672592
1964,6.978522159,3.485582304
1965,5.983505989,3.053487894
1966,2.382458423,4.150360233
1967,6.30262019,4.915265675
1968,5.0958138,11.42728238
1969,7.044329321,9.73582689
1970,7.172186576,8.769947472
1971,4.003683534,11.29508684
1972,3.91252353,12.05280225
1973,2.613723151,13.97869165
1974,4.103362161,9.042120313
1975,1.349916787,5.209075901
1976,2.5876962,9.790410161
1977,3.597427567,4.606318061
1978,0.896879846,3.231709563
1979,4.043486692,6.766284965
1980,3.034245871,9.110960155
1981,3.337768138,-4.3933572
1982,3.328441934,0.580245553
1983,-2.220470122,-3.409793474
1984,4.581297219,5.26914315
1985,5.249329609,7.945861749
1986,4.037528851,7.988295105
1987,2.551170459,3.599629467
1988,5.743381585,-0.102672718
1989,3.861173516,3.279458858
1990,3.570998147,-3.102355949
1991,-0.3978177,1.511937238
1992,0.412184701,-0.466913212
1993,4.029906461,4.66516899
1994,3.983890153,5.334551702
1995,3.837755293,4.416731355
1996,3.878585293,2.207535527
1997,3.966537662,3.394845985
1998,4.576688759,0.338097903
1999,5.073599095,0.467937567
2000,3.933136945,4.387949443
2001,1.930857592,1.389896403
2002,4.001404062,3.053461858
2003,2.985934322,1.140828998
2004,4.055451968,5.759964639
2005,3.204269793,3.20213138
2006,2.794537024,3.961988722
2007,3.844230316,6.069870608
2008,3.657953526,5.094195447
2009,1.93699392,-0.125811999
2010,2.067417128,7.52822583
2011,2.462756312,3.974425406
2012,3.918162871,1.921150318
2013,2.584897702,3.004846305
2014,2.533114665,0.50395574
2015,2.192647426,-3.545763393
2016,2.770652197,-3.275916908
2017,2.300610624,1.322869055
2018,2.949285772,1.783666761
2019,2.160956295,1.411152985
2020,-0.284839298,-4.059048273
